mode,code,basis,rounds,shots,relay_solutions,gamma_mode,beta_int_low,beta_int_high,memory_strength_scale,alpha_mode,alpha_value,i64_data_scale_value,i64_max_data_value,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,72_12_6,X,6,5000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.5272,6.0,19.0,45.01000000000022,161,228.6528,38.1088,,,,,252,2232,7776,35,6,2.353071208111942
i64_scale8_wide_proxy,72_12_6,Z,6,5000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.8742,6.0,20.0,47.01000000000022,753,236.9808,39.4968,,,,,252,2232,7776,35,6,2.390912999981083
i64_scale8_wide_proxy,108_8_10,X,10,5000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,15.31,10.0,30.0,63.0,446,367.44,36.744,,,,,594,5508,19224,35,6,8.280722500057891
i64_scale8_wide_proxy,108_8_10,Z,10,5000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,16.103,11.0,32.0,71.0,468,386.47200000000004,38.647200000000005,,,,,594,5508,19224,35,6,8.564769166056067
i64_scale8_wide_proxy,288_12_18,X,18,5000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,35.7812,32.0,59.0,112.01000000000022,509,858.7488,47.70826666666667,,,,,2736,26208,91584,35,6,79.54994329204783
i64_scale8_wide_proxy,288_12_18,Z,18,5000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,36.9078,33.0,60.0,117.0,290,885.7872,49.2104,,,,,2736,26208,91584,35,6,82.79636995890178
