mode,code,basis,rounds,shots,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,18_4_3,X,3,1000,1.0,9.298,5.0,5.0,135.07999999999993,512,223.152,74.384,8.117688143879867,194.82451545311682,64.94150515103894,0.8730574471800244,36,288,891,31,4,0.05544895795173943
i64_scale8_wide_proxy,18_4_3,Z,3,1000,1.0,6.708,5.0,6.0,38.00999999999999,336,160.99200000000002,53.66400000000001,5.856469355683604,140.5552645364065,46.85175484546883,0.8730574471800244,36,288,945,33,5,0.04526920791249722
i64_scale8_wide_proxy,72_12_6,X,6,1000,1.0,10.074,6.0,21.0,41.0,190,241.776,40.296,8.795180722891565,211.08433734939757,35.18072289156626,0.8730574471800244,252,2232,7776,35,6,0.4818223330657929
i64_scale8_wide_proxy,72_12_6,Z,6,1000,1.0,10.193,6.0,21.0,46.02999999999997,121,244.632,40.772,8.899074559105989,213.57778941854372,35.596298236423955,0.8730574471800244,252,2232,7776,35,6,0.48454950004816055
i64_scale8_wide_proxy,144_12_12,X,12,1000,1.0,21.161,17.0,39.0,78.01999999999998,158,507.86400000000003,42.322,18.4747686397765,443.394447354636,36.949537279553,0.8730574471800244,936,8784,30672,35,6,3.418731666984968
i64_scale8_wide_proxy,144_12_12,Z,12,1000,1.0,24.655,17.0,41.0,84.02999999999997,2910,591.72,49.31,21.525231360223504,516.6055526453641,43.05046272044701,0.8730574471800244,936,8784,30672,35,6,3.849343750043772
i64_scale8_wide_proxy,288_12_18,X,18,1000,1.0,38.05,34.0,62.0,127.04999999999995,276,913.1999999999999,50.73333333333333,33.219835865199926,797.2760607647982,44.293114486933234,0.8730574471800244,2736,26208,91584,35,6,21.552638499997556
i64_scale8_wide_proxy,288_12_18,Z,18,1000,1.0,37.593,34.0,61.0,114.01999999999998,218,902.2320000000001,50.124,32.82084861183866,787.7003666841279,43.761131482451546,0.8730574471800244,2736,26208,91584,35,6,21.221672459039837
