mode,code,basis,rounds,shots,relay_solutions,gamma_mode,beta_int_low,beta_int_high,memory_strength_scale,alpha_mode,alpha_value,i64_data_scale_value,i64_max_data_value,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,72_12_6,X,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.949,6.0,21.0,48.00999999999999,72,238.776,39.796,,,,,252,2232,7776,35,6,0.47987012506928295
i64_scale8_wide_proxy,72_12_6,Z,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.707,6.0,20.0,44.0,86,232.96800000000002,38.828,,,,,252,2232,7776,35,6,0.4758836249820888
i64_scale8_wide_proxy,90_8_10,X,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,0.999,49.981,10.0,29.0,64.03999999999996,36080,1199.544,119.9544,,,,,495,4590,16020,35,6,3.8139362919609994
i64_scale8_wide_proxy,90_8_10,Z,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,14.409,10.0,28.0,63.00999999999999,207,345.81600000000003,34.5816,,,,,495,4590,16020,35,6,1.3226608339464292
