mode,code,basis,rounds,shots,relay_solutions,gamma_mode,beta_int_low,beta_int_high,memory_strength_scale,alpha_mode,alpha_value,i64_data_scale_value,i64_max_data_value,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,72_12_6,X,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,10.339,6.0,21.100000000000023,48.0,170,248.13600000000002,41.356,10.255164034021872,246.12393681652492,41.02065613608749,0.991891288714757,252,2232,7776,35,6,0.5012454580282792
i64_scale8_wide_proxy,72_12_6,Z,6,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,9.554,6.0,19.0,49.00999999999999,114,229.296,38.216,9.476529372380789,227.43670493713893,37.906117489523155,0.991891288714757,252,2232,7776,35,6,0.4731321249855682
i64_scale8_wide_proxy,90_8_10,X,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,14.99,10.0,28.0,60.01999999999998,1282,359.76,35.976,14.868450417834207,356.84281002802095,35.684281002802095,0.991891288714757,495,4590,16020,35,6,1.3678756250301376
i64_scale8_wide_proxy,90_8_10,Z,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,13.908,10.0,28.0,53.00999999999999,106,333.792,33.3792,13.79522404344484,331.08537704267616,33.10853770426762,0.991891288714757,495,4590,16020,35,6,1.3047257909784093
i64_scale8_wide_proxy,108_8_10,X,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,15.52,11.0,30.0,63.059999999999945,300,372.48,37.248000000000005,15.394152800853028,369.4596672204727,36.94596672204727,0.991891288714757,594,5508,19224,35,6,1.6795756670180708
i64_scale8_wide_proxy,108_8_10,Z,10,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,15.908,11.0,31.100000000000023,85.00999999999999,200,381.792,38.179199999999994,15.779006620874354,378.69615890098447,37.869615890098444,0.991891288714757,594,5508,19224,35,6,1.6985534999985248
i64_scale8_wide_proxy,144_12_12,X,12,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,19.998,15.0,39.0,78.00999999999999,126,479.952,39.996,19.83584199171771,476.06020780122503,39.67168398343542,0.991891288714757,936,8784,30672,35,6,3.2556585419224575
i64_scale8_wide_proxy,144_12_12,Z,12,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,20.329,15.0,41.0,72.01999999999998,130,487.896,40.658,20.164158008282296,483.9397921987751,40.32831601656459,0.991891288714757,936,8784,30672,35,6,3.287327333004214
i64_scale8_wide_proxy,288_12_18,X,18,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,36.681,32.0,63.0,114.09999999999991,209,880.3439999999999,48.907999999999994,36.383564361346,873.2055446723039,48.51141914846133,0.991891288714757,2736,26208,91584,35,6,16.294674249948002
i64_scale8_wide_proxy,288_12_18,Z,18,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,36.039,32.0,60.0,103.01999999999998,353,864.936,48.052,35.74677015399113,857.9224836957872,47.662360205321505,0.991891288714757,2736,26208,91584,35,6,16.00644500006456
i64_scale8_wide_proxy,360_12_24,X,24,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,46.96,41.0,74.0,141.02999999999997,336,1127.04,46.96,46.57921491804499,1117.9011580330798,46.57921491804499,0.991891288714757,4500,43560,152280,35,6,34.83152462495491
i64_scale8_wide_proxy,360_12_24,Z,24,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,48.638,43.0,77.0,130.15999999999985,510,1167.312,48.638,48.243608500508344,1157.8466040122003,48.243608500508344,0.991891288714757,4500,43560,152280,35,6,35.42957487492822
i64_scale8_wide_proxy,648_12_30,X,30,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,67.406,61.0,99.10000000000002,173.12999999999988,386,1617.7440000000001,53.924800000000005,66.85942420710691,1604.6261809705659,53.48753936568553,0.991891288714757,10044,97848,342144,35,6,108.99579600000288
i64_scale8_wide_proxy,648_12_30,Z,30,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,70.619,65.0,105.10000000000002,189.01,301,1694.856,56.4952,70.04637091774742,1681.1129020259382,56.03709673419794,0.991891288714757,10044,97848,342144,35,6,121.94580399990082
i64_scale8_wide_proxy,756_16_34,X,34,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,76.336,69.0,111.0,198.03999999999996,357,1832.0639999999999,53.884235294117644,75.71701341532969,1817.2083219679125,53.44730358729154,0.991891288714757,13230,129276,452088,35,6,168.52447570802178
i64_scale8_wide_proxy,756_16_34,Z,34,1000,5,continuous,,,,paper_ramp,,8.0,127.0,1.0,79.655,72.0,116.0,207.0999999999999,282,1911.72,56.22705882352941,79.00910060257397,1896.2184144617752,55.77112983711103,0.991891288714757,13230,129276,452088,35,6,170.5569990000222
