mode,code,basis,rounds,shots,relay_solutions,gamma_mode,beta_int_low,beta_int_high,memory_strength_scale,alpha_mode,alpha_value,i64_data_scale_value,i64_max_data_value,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,144_12_12,X,12,1000,1,beta_int,3,10,8,paper_ramp,,8.0,127.0,1.0,4.267,3.0,8.0,22.029999999999973,87,102.40800000000002,8.534,19.95323825111059,478.8777180266542,39.90647650222118,4.676174888940846,936,8784,30672,35,6,0.6353249580133706
i64_scale8_wide_proxy,144_12_12,Z,12,1000,1,beta_int,3,10,8,paper_ramp,,8.0,127.0,1.0,4.287,3.0,9.0,26.00999999999999,47,102.888,8.574,20.046761748889406,481.1222819733457,40.09352349777881,4.676174888940846,936,8784,30672,35,6,0.6360652920557186
