mode,code,basis,rounds,shots,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,72_12_6,X,6,1000,1.0,10.508,6.0,21.100000000000023,48.01999999999998,121,252.19199999999998,42.032,9.846326836581706,236.31184407796096,39.385307346326826,0.937031484257871,252,2232,7776,35,6,0.500139250070788
i64_scale8_wide_proxy,72_12_6,Z,6,1000,1.0,10.69,6.0,22.0,55.02999999999997,145,256.56,42.76,10.01686656671664,240.40479760119936,40.06746626686656,0.937031484257871,252,2232,7776,35,6,0.495551708037965
i64_scale8_wide_proxy,144_12_12,X,12,1000,1.0,20.82,16.5,40.0,71.00999999999999,267,499.68,41.64,19.508995502248872,468.21589205397294,39.017991004497745,0.937031484257871,936,8784,30672,35,6,3.3279489160049707
i64_scale8_wide_proxy,144_12_12,Z,12,1000,1.0,21.868,17.0,41.0,88.03999999999996,196,524.832,43.736,20.49100449775112,491.7841079460269,40.98200899550224,0.937031484257871,936,8784,30672,35,6,3.4831640829797834
i64_scale8_wide_proxy,288_12_18,X,18,1000,1.0,38.19,34.0,62.0,118.01999999999998,223,916.56,50.919999999999995,35.78523238380809,858.8455772113942,47.71364317841079,0.937031484257871,2736,26208,91584,35,6,21.557371041039005
i64_scale8_wide_proxy,288_12_18,Z,18,1000,1.0,38.99,34.0,66.0,129.01999999999998,218,935.76,51.986666666666665,36.53485757121439,876.8365817091453,48.71314342828585,0.937031484257871,2736,26208,91584,35,6,22.730801167082973
