mode,code,basis,rounds,shots,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,72_12_6,X,6,5000,1.0,10.0476,6.0,20.0,47.01000000000022,140,241.14239999999998,40.1904,9.384535634728273,225.22885523347855,37.53814253891309,0.9340076868832631,252,2232,7776,35,6,2.4522937909932807
i64_scale8_wide_proxy,72_12_6,Z,6,5000,1.0,10.2072,6.0,20.0,48.01000000000022,303,244.9728,40.8288,9.533603261554843,228.80647827731622,38.13441304621937,0.9340076868832631,252,2232,7776,35,6,2.4236775420140475
i64_scale8_wide_proxy,144_12_12,X,12,5000,1.0,21.153,16.0,38.0,89.01000000000022,1500,507.67199999999997,42.306,19.757064600641662,474.1695504153999,39.514129201283325,0.9340076868832631,936,8784,30672,35,6,17.46183008409571
i64_scale8_wide_proxy,144_12_12,Z,12,5000,1.0,21.6732,17.0,41.0,80.01000000000022,247,520.1568,43.346399999999996,20.242935399358338,485.8304495846001,40.485870798716675,0.9340076868832631,936,8784,30672,35,6,17.823345207958482
