mode,code,basis,rounds,shots,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,360_12_24,X,24,1000,1.0,46.287,42.0,72.0,132.02999999999997,451,1110.888,46.287,,,,,4500,43560,152280,35,6,52.39116804196965
i64_scale8_wide_proxy,360_12_24,Z,24,1000,1.0,47.643,43.0,75.10000000000002,131.01999999999998,191,1143.432,47.643,,,,,4500,43560,152280,35,6,53.99142762494739
i64_scale8_wide_proxy,648_12_30,X,30,1000,1.0,68.392,61.0,103.0,186.01999999999998,312,1641.408,54.7136,,,,,10044,97848,342144,35,6,169.0463700830005
i64_scale8_wide_proxy,648_12_30,Z,30,1000,1.0,70.37,64.0,103.0,177.13999999999987,366,1688.88,56.29600000000001,,,,,10044,97848,342144,35,6,176.53026654105633
i64_scale8_wide_proxy,756_16_34,X,34,1000,1.0,75.385,67.0,112.0,199.02999999999997,540,1809.2400000000002,53.21294117647059,,,,,13230,129276,452088,35,6,259.33063258300535
i64_scale8_wide_proxy,756_16_34,Z,34,1000,1.0,79.423,71.0,120.0,193.03999999999996,462,1906.152,56.06329411764706,,,,,13230,129276,452088,35,6,273.8344852080336
