mode,code,basis,rounds,shots,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
fp64_continuous,144_12_12,X,12,1000,1.0,25.204,21.0,48.0,87.01999999999998,148,604.896,50.407999999999994,20.123757435426565,482.97017845023754,40.24751487085313,0.7984350672681544,936,8784,30672,35,6,3.710970166954212
fp64_continuous,144_12_12,Z,12,1000,1.0,24.894,20.0,45.0,88.00999999999999,223,597.4559999999999,49.78799999999999,19.876242564573435,477.02982154976246,39.75248512914687,0.7984350672681544,936,8784,30672,35,6,3.701310334028676
fp64_beta8_gamma,144_12_12,X,12,1000,1.0,28.664,23.0,52.10000000000002,107.00999999999999,221,687.936,57.328,19.0442654264596,457.06237023503036,38.0885308529192,0.6643966447969438,936,8784,30672,35,6,5.241434041992761
fp64_beta8_gamma,144_12_12,Z,12,1000,1.0,31.541,24.0,61.0,137.0,218,756.984,63.082,20.955734573540404,502.9376297649697,41.91146914708081,0.6643966447969438,936,8784,30672,35,6,5.422632416011766
i64_scale2_int4_proxy,144_12_12,X,12,1000,1.0,184.944,89.5,465.0,1046.01,3542,4438.656,369.888,18.231501744839413,437.5560418761459,36.463003489678826,0.09857849805800359,936,8784,30672,35,6,30.81673945800867
i64_scale2_int4_proxy,144_12_12,Z,12,1000,0.999,220.824,79.0,451.70000000000016,1102.2599999999998,36080,5299.776,441.64799999999997,21.768498255160587,522.4439581238541,43.53699651032118,0.09857849805800359,936,8784,30672,35,6,37.31273624999449
i64_scale8_wide_proxy,144_12_12,X,12,1000,1.0,20.989,16.0,40.0,94.01999999999998,113,503.736,41.978,19.826661943558864,475.8398866454128,39.65332388711773,0.9446215609871296,936,8784,30672,35,6,4.184715292067267
i64_scale8_wide_proxy,144_12_12,Z,12,1000,1.0,21.356,16.0,40.0,86.0,114,512.5440000000001,42.71200000000001,20.17333805644114,484.16011335458734,40.34667611288228,0.9446215609871296,936,8784,30672,35,6,4.28571433306206
