mode,code,basis,rounds,shots,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,90_8_10,X,10,1000,1.0,13.311,9.0,26.0,54.0,242,319.464,31.9464,,,,,495,4590,16020,35,6,1.6571428750175983
i64_scale8_wide_proxy,90_8_10,Z,10,1000,1.0,14.436,10.0,30.0,62.059999999999945,128,346.464,34.6464,,,,,495,4590,16020,35,6,1.5989512499654666
i64_scale8_wide_proxy,108_8_10,X,10,1000,1.0,15.901,11.0,30.0,66.05999999999995,663,381.624,38.162400000000005,,,,,594,5508,19224,35,6,2.074611666961573
i64_scale8_wide_proxy,108_8_10,Z,10,1000,1.0,16.407,10.0,32.0,83.00999999999999,825,393.76800000000003,39.3768,,,,,594,5508,19224,35,6,2.0977625409141183
