mode,code,basis,rounds,shots,relay_solutions,gamma_mode,beta_int_low,beta_int_high,memory_strength_scale,alpha_mode,alpha_value,i64_data_scale_value,i64_max_data_value,success_rate,raw_avg_iterations,raw_median_iterations,raw_p90_iterations,raw_p99_iterations,raw_max_iterations,raw_cpu_window_latency_ns,raw_cpu_latency_ns_per_round,paper_calibrated_avg_iterations,paper_calibrated_window_latency_ns,paper_calibrated_latency_ns_per_round,gross_iteration_scale,detectors,error_variables,edges,max_check_degree,max_variable_degree,cpu_decode_seconds
i64_scale8_wide_proxy,144_12_12,X,12,1000,1,beta_int,3,10,8,paper_ramp,,8.0,127.0,1.0,4.754,3.0,10.0,27.019999999999982,84,114.09599999999999,9.508,19.628406275805116,471.08175061932275,39.25681255161023,4.1288191577208915,936,8784,30672,35,6,0.7102845000335947
i64_scale8_wide_proxy,144_12_12,Z,12,1000,1,beta_int,3,10,8,paper_ramp,,8.0,127.0,1.0,4.934,3.0,10.100000000000023,25.0,85,118.416,9.868,20.37159372419488,488.91824938067714,40.74318744838976,4.1288191577208915,936,8784,30672,35,6,0.7283555420581251
