code,basis,rounds,shots,raw_avg_iterations,median_iterations,p90_iterations,p99_iterations,max_iterations,success_rate,cpu_decode_seconds,detectors,error_variables,edges,max_check_degree,max_variable_degree,avg_check_degree,avg_variable_degree,calibrated_avg_iterations,window_latency_ns,latency_ns_per_round,edge_ratio_vs_calibration,detector_ratio_vs_calibration,variable_ratio_vs_calibration
18_4_3,X,3,1000,6.989,5.0,7.0,49.069999999999936,255,1.0,0.043676833040080965,36,288,891,31,4,24.75,3.09375,5.724113925346547,137.37873420831713,45.792911402772376,0.029049295774647887,0.038461538461538464,0.03278688524590164
18_4_3,Z,3,1000,7.086,5.0,6.100000000000023,60.02999999999997,243,1.0,0.04488870897330344,36,288,945,33,5,26.25,3.28125,5.803558631421611,139.28540715411867,46.42846905137289,0.030809859154929578,0.038461538461538464,0.03278688524590164
72_12_6,X,6,1000,11.368,8.0,23.0,49.00999999999999,182,1.0,0.500497458036989,252,2232,7776,35,6,30.857142857142858,3.4838709677419355,9.310591944962018,223.45420667908843,37.242367779848074,0.2535211267605634,0.2692307692307692,0.2540983606557377
72_12_6,Z,6,1000,11.371,8.0,23.0,53.01999999999998,104,1.0,0.4955184159334749,252,2232,7776,35,6,30.857142857142858,3.4838709677419355,9.313048997727227,223.51317594545344,37.25219599090891,0.2535211267605634,0.2692307692307692,0.2540983606557377
144_12_12,X,12,1000,24.286,20.0,46.0,85.01999999999998,145,1.0,3.641412750002928,936,8784,30672,35,6,32.76923076923077,3.4918032786885247,19.89066115194824,477.3758676467578,39.78132230389648,1.0,1.0,1.0
144_12_12,Z,12,1000,24.553,20.0,45.10000000000002,85.01999999999998,158,1.0,3.6635635410202667,936,8784,30672,35,6,32.76923076923077,3.4918032786885247,20.109338848051763,482.6241323532423,40.218677696103526,1.0,1.0,1.0
288_12_18,X,18,1000,45.137,38.0,82.0,143.03999999999996,190,1.0,19.061454250011593,2736,26208,91584,35,6,33.473684210526315,3.4945054945054945,36.967996887733165,887.231925305596,49.290662516977555,2.9859154929577465,2.923076923076923,2.9836065573770494
288_12_18,Z,18,1000,47.279,39.0,82.10000000000002,154.06999999999994,373,1.0,19.965339375077747,2736,26208,91584,35,6,33.473684210526315,3.4945054945054945,38.72233256209178,929.3359814902027,51.62977674945571,2.9859154929577465,2.923076923076923,2.9836065573770494
